item,location,on_hand,safety_stock,sales,volume,leadtime,cost,MaxCubes
20052773071,3010,0,4,0.381,4.89,154,40,2350
20052773072,3010,284,4,3.008692,7.5,154,40,2350
20052773073,3010,39,4,3.079423,2.3,154,200,2350
20052773074,3010,11,4,26.068346,33.5,154,75,2350
20052773075,3010,79,4,20.337384,5.7,154,150,2350
20052773076,3010,2,4,13.163961,11.2,154,171,2350
20052773077,3010,1,4,3.42073,13.9,154,157.5,2350
20052773078,3010,61,4,3.00873,16.68,154,235,2350
20052773079,3010,271,4,8.109192,32.9,154,159,2350
20052773080,3010,21,4,10.026692,10.6,154,168,2350
20052773081,3010,281,4,15.474961,26.4,154,100,2350
20052773082,3010,12,4,18.940538,9.5,154,130,2350
20052773083,3010,38,4,6.463115,10.1,154,65,2350
20052773084,3010,2,4,41.179192,5.5,154,40,2350
20052773085,3010,29,6,7.6065,4.86,154,42,2350
20052773086,3010,45,4,4.1975,5.21,154,47,2350
20052773087,3010,290,4,7.61523,6.05,154,50,2350
20052773088,3010,288,4,1.473423,5.3,154,37,2350
20052773089,3010,26,6,0.377076,4.57,154,76,2350
20052773090,3010,64,4,1.383615,8.23,154,49,2350
20052773091,3010,190,4,4.205576,6.64,154,40,2350
20052773092,3010,98,4,0.381,4.89,154,42,2350
20052773093,3010,246,4,3.008692,10.6,154,47,2350
20052773094,3010,16,4,3.079423,26.4,154,50,2350
20052773095,3010,41,4,26.068346,9.5,154,37,2350
20052773096,3010,1,4,20.337384,10.1,154,76,2350
20052773097,3010,0,4,13.163961,5.5,154,49,2350
20052773098,3010,284,4,3.42073,4.86,154,40,2350
20052773099,3010,39,6,3.00873,5.21,154,40,2350
20052773100,3010,11,4,8.109192,6.05,154,200,2350
20052773101,3010,79,4,3.008692,7.5,154,167.5,2350
20052773102,3010,2,4,3.079423,2.3,154,40,2350
20052773103,3010,1,6,26.068346,33.5,154,200,2350
20052773104,3010,61,4,20.337384,5.7,154,75,2350
20052773105,3010,271,4,13.163961,11.2,154,150,2350
20052773106,3010,21,4,3.42073,13.9,154,171,2350
20052773107,3010,281,4,3.00873,16.68,154,157.5,2350
20052773108,3010,12,4,8.109192,32.9,154,235,2350
20052773109,3010,38,4,10.026692,10.6,154,159,2350
20052773110,3010,2,4,15.474961,26.4,154,168,2350
20052773111,3010,29,4,18.940538,9.5,154,100,2350
20052773112,3010,45,4,6.463115,10.1,154,130,2350
20052773113,3010,290,4,41.179192,5.5,154,65,2350
20052773114,3010,288,4,7.6065,4.86,154,40,2350
20052773115,3010,26,6,4.1975,5.21,154,42,2350
20052773116,3010,64,4,7.61523,6.05,154,47,2350
20052773117,3010,190,4,1.473423,5.3,154,50,2350
20052773118,3010,98,4,0.377076,4.57,154,37,2350
20052773119,3010,21,6,1.383615,8.23,154,76,2350
20052773120,3010,281,4,4.205576,6.64,154,49,2350
20052773121,3010,12,4,0.381,4.89,154,40,2350
20052773122,3010,38,4,3.008692,7.5,154,40,2350
20052773123,3010,2,4,3.079423,2.3,154,200,2350
20052773124,3010,29,4,26.068346,33.5,154,75,2350
20052773125,3010,45,4,20.337384,5.7,154,150,2350
20052773126,3010,290,4,13.163961,11.2,154,171,2350
20052773127,3010,288,4,3.42073,13.9,154,157.5,2350
20052773128,3010,26,4,3.00873,16.68,154,235,2350
20052773129,3010,64,6,8.109192,32.9,154,159,2350
20052773130,3010,190,4,10.026692,10.6,154,168,2350
20052773131,3010,98,4,15.474961,26.4,154,100,2350
20052773132,3010,246,4,18.940538,9.5,154,130,2350
20052773133,3010,16,4,6.463115,10.1,154,65,2350
20052773134,3010,41,4,41.179192,5.5,154,40,2350
20052773135,3010,1,4,7.6065,4.86,154,42,2350
20052773136,3010,0,4,4.1975,5.21,154,47,2350
20052773137,3010,284,4,7.61523,6.05,154,50,2350
20052773138,3010,39,6,1.473423,5.3,154,37,2350
20052773139,3010,11,4,0.377076,4.57,154,76,2350
20052773140,3010,79,4,1.383615,8.23,154,49,2350
20052773141,3010,2,4,4.205576,6.64,154,40,2350
20052773142,3010,1,6,0.381,4.89,154,42,2350
20052773143,3010,61,4,3.008692,10.6,154,47,2350
20052773144,3010,271,4,3.079423,26.4,154,50,2350
20052773145,3010,21,4,26.068346,9.5,154,37,2350
20052773146,3010,21,4,20.337384,10.1,154,76,2350
20052773147,3010,281,4,13.163961,5.5,154,49,2350
20052773148,3010,12,4,3.42073,4.86,154,40,2350
20052773149,3010,38,4,3.00873,5.21,154,40,2350
20052773150,3010,2,4,8.109192,6.05,154,200,2350
20052773151,3010,29,4,3.008692,7.5,154,167.5,2350
20052773152,3010,45,6,3.079423,2.3,154,40,2350
20052773153,3010,290,4,26.068346,33.5,154,200,2350
20052773154,3010,288,4,20.337384,5.7,154,75,2350
20052773155,3010,26,4,13.163961,11.2,154,150,2350
20052773156,3010,64,4,3.42073,13.9,154,171,2350
20052773157,3010,190,4,3.00873,16.68,154,157.5,2350
20052773158,3010,98,4,8.109192,32.9,154,235,2350
20052773159,3010,246,4,10.026692,10.6,154,159,2350
20052773160,3010,16,4,15.474961,26.4,154,168,2350
20052773161,3010,41,6,18.940538,9.5,154,100,2350
20052773162,3010,1,4,6.463115,10.1,154,130,2350
20052773163,3010,0,4,41.179192,5.5,154,65,2350
20052773164,3010,284,4,7.6065,4.86,154,40,2350
20052773165,3010,39,6,4.1975,5.21,154,42,2350
20052773166,3010,11,4,7.61523,6.05,154,47,2350
20052773167,3010,79,4,1.473423,5.3,154,50,2350
20052773168,3010,2,4,0.377076,4.57,154,37,2350
20052773169,3010,1,4,1.383615,8.23,154,76,2350
20052773170,3010,61,4,4.205576,6.64,154,49,2350
20052773171,3010,271,4,0.381,4.89,154,40,2350
20052773172,3010,21,4,3.008692,7.5,154,40,2350
20052773173,3010,21,4,3.079423,2.3,154,200,2350
20052773174,3010,281,4,26.068346,33.5,154,75,2350
20052773175,3010,12,6,20.337384,5.7,154,150,2350
20052773176,3010,38,4,13.163961,11.2,154,171,2350
20052773177,3010,2,4,3.42073,13.9,154,157.5,2350
20052773178,3010,29,4,3.00873,16.68,154,235,2350
20052773179,3010,45,4,8.109192,32.9,154,159,2350
20052773180,3010,290,4,10.026692,10.6,154,168,2350
20052773181,3010,288,4,15.474961,26.4,154,100,2350
20052773182,3010,26,4,18.940538,9.5,154,130,2350
20052773183,3010,64,4,6.463115,10.1,154,65,2350
20052773184,3010,190,4,41.179192,5.5,154,40,2350
20052773185,3010,98,4,7.6065,4.86,154,42,2350
20052773186,3010,246,4,4.1975,5.21,154,47,2350
20052773187,3010,16,4,7.61523,6.05,154,50,2350
20052773188,3010,41,4,1.473423,5.3,154,37,2350
20052773189,3010,1,4,0.377076,4.57,154,76,2350
20052773190,3010,0,4,1.383615,8.23,154,49,2350
20052773191,3010,284,4,4.205576,6.64,154,40,2350
20052773192,3010,39,4,0.381,4.89,154,42,2350
20052773193,3010,11,4,3.008692,10.6,154,47,2350
20052773194,3010,79,4,3.079423,26.4,154,50,2350
20052773195,3010,2,4,26.068346,9.5,154,37,2350
20052773196,3010,1,4,20.337384,10.1,154,76,2350
20052773197,3010,61,4,13.163961,5.5,154,49,2350
20052773198,3010,271,4,3.42073,4.86,154,40,2350
20052773199,3010,21,4,3.00873,5.21,154,40,2350
20052773200,3010,2,4,8.109192,6.05,154,200,2350
